,id,name,출판일,분류,작가,순위,평점,한줄평,댓글등록자,댓글등록일
0,96792346,2021 해커스 전산회계 1급 이론+실기+기출문제,2021년 01월 18일,"['국내도서', '수험서 자격증', '경제/금융/회계/물류', '세무/회계(세무사회)', '전산회계1급', '#분철']","
이남호 저
        ",721,평점1점,무료강의가 7일 이었네요 ㅡㅡ;;;,h****u,2021-04-26
1,96792346,2021 해커스 전산회계 1급 이론+실기+기출문제,2021년 01월 18일,"['국내도서', '수험서 자격증', '경제/금융/회계/물류', '세무/회계(세무사회)', '전산회계1급', '#분철']","
이남호 저
        ",721,평점5점,굿 좋은 책,리*러,2021-03-31
2,96792346,2021 해커스 전산회계 1급 이론+실기+기출문제,2021년 01월 18일,"['국내도서', '수험서 자격증', '경제/금융/회계/물류', '세무/회계(세무사회)', '전산회계1급', '#분철']","
이남호 저
        ",721,평점5점,좋은 책입니다,m******p,2021-03-28
3,96792346,2021 해커스 전산회계 1급 이론+실기+기출문제,2021년 01월 18일,"['국내도서', '수험서 자격증', '경제/금융/회계/물류', '세무/회계(세무사회)', '전산회계1급', '#분철']","
이남호 저
        ",721,평점5점,좋아요,ㅎ*,2021-03-26
4,96792346,2021 해커스 전산회계 1급 이론+실기+기출문제,2021년 01월 18일,"['국내도서', '수험서 자격증', '경제/금융/회계/물류', '세무/회계(세무사회)', '전산회계1급', '#분철']","
이남호 저
        ",721,평점5점,어렵지만 홧팅,뿡***빵,2021-02-14
5,96792346,2021 해커스 전산회계 1급 이론+실기+기출문제,2021년 01월 18일,"['국내도서', '수험서 자격증', '경제/금융/회계/물류', '세무/회계(세무사회)', '전산회계1급', '#분철']","
이남호 저
        ",721,평점5점,합격보장 굿굿 3주완성 해보렵니다,h*****9,2021-01-31
6,96792346,2021 해커스 전산회계 1급 이론+실기+기출문제,2021년 01월 18일,"['국내도서', '수험서 자격증', '경제/금융/회계/물류', '세무/회계(세무사회)', '전산회계1급', '#분철']","
이남호 저
        ",721,평점5점,"기왕 공부할것이라면, 가장 수험의 핵심을 짚어주는 '해커스'교재를 택하라고 전하소! 시험에",h******7,2021-01-25
7,96792346,2021 해커스 전산회계 1급 이론+실기+기출문제,2021년 01월 18일,"['국내도서', '수험서 자격증', '경제/금융/회계/물류', '세무/회계(세무사회)', '전산회계1급', '#분철']","
이남호 저
        ",721,평점5점,"언제나 믿고보는 해커스! 
항상 자격증 시험은 해커스를 이용하는데 이번에도 기대가 됩니다!",l**y,2021-01-24
8,96792346,2021 해커스 전산회계 1급 이론+실기+기출문제,2021년 01월 18일,"['국내도서', '수험서 자격증', '경제/금융/회계/물류', '세무/회계(세무사회)', '전산회계1급', '#분철']","
이남호 저
        ",721,평점5점,해커스라 믿음이가고 구성이 알차서 그대로 따라가기만 하면 될거같아요 분개연습이 많아서좋아요,스*네,2021-01-20
9,69747499,100 인생 그림책,2019년 02월 22일,"['국내도서', '에세이', '독서 에세이', '국내도서', '에세이', '그림 에세이', '국내도서', '에세이', '외국 에세이', '국내도서', '유아', '100세 그림책', '다른나라 그림책', '국내도서', '행복한아침독서/책둥이 추천', '2020년', '부모/교사용', '국내도서', '미디어 추천', '동아일보', '국내도서', '미디어 추천', '경향신문', '국내도서', 'YES24 올해의 책', '2019년 올해의 책 후보도서', '#예쁜표지', '#일상의아름다움', '#공감라이프', '#마음을위로하는그림책', '#그림이예쁜에세이']","
하이케 팔러 저/발레리오 비달리 그림/김서정 역
        ",722,평점5점,그래.인생이란,9******8,2021-04-20
