,id,name,출판일,분류,작가,순위,평점,한줄평,댓글등록자,댓글등록일
0,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점2점,오타도 많고 오류도 많고 너무 지엽적임 문제가.. 시험 마무리용으로는 추천 안합니다,y******4,2021-04-26
1,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점5점,좋아요 잘정리되고 있어요,레**리,2021-04-25
2,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점5점,좋아요!,t*******k,2021-04-20
3,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점5점,추천하는 책입니다,k****p,2021-04-20
4,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점5점,점수 메기고 나면 눈물나는데 책은 정말 좋습니다 !!,q***d,2021-04-18
5,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점5점,좋습니당,m*******d,2021-04-14
6,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점5점,굿!!,m*******d,2021-04-10
7,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점5점,"좋아요! 난이도도 적당해요, 평균83. 저만 오타발견못한건가요?;;꼭풀어보세요다들",C*****t,2021-04-06
8,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점5점,좋아욥,w*****4,2021-04-06
9,96435394,2021 전한길 한국사 4.0 실전동형 모의고사,2021년 01월 10일,"['국내도서', '수험서 자격증', '공무원', '한국사', '문제집/모의고사', '국내도서', '수험서 자격증', '공무원', '경찰공무원(승진)', '경찰한국사', '국내도서', '수험서 자격증', '공무원', '소방공무원(승진)', '소방직']","
전한길 저
        ",241,평점3점,좋은데 좀 어려움,r****0,2021-04-02
