,id,name,출판일,분류,작가,순위,평점,한줄평
17,98831374,"아들아, 돈 공부해야 한다",2021년 03월 25일,"['국내도서', '경제 경영', '경제', '경제상식/경제이야기', '국내도서', '경제 경영', '투자/재테크', '재테크일반', '#부자되는법']",정선용,3,평점5점,스토리가 좋아요
18,93522583,어떻게 말해줘야 할까,2020년 10월 25일,"['국내도서', '가정 살림', '육아', '육아법/육아일기', '국내도서', '가정 살림', '자녀교육', '자녀교육일반', '#일생의기술', '#대화가필요해', '#자녀와의대화', '#부모는처음이라', '#부모가된다는것', '#부모와아이가행복한육아', '#아이를키운다면한번쯤', '#대화의기술']",오은영,4,평점5점,잘받았습니다
19,93522583,어떻게 말해줘야 할까,2020년 10월 25일,"['국내도서', '가정 살림', '육아', '육아법/육아일기', '국내도서', '가정 살림', '자녀교육', '자녀교육일반', '#일생의기술', '#대화가필요해', '#자녀와의대화', '#부모는처음이라', '#부모가된다는것', '#부모와아이가행복한육아', '#아이를키운다면한번쯤', '#대화의기술']",오은영,4,평점4점,잘 표시해 둔다. 생생하게 다가오는 내용들에 대해서는...
20,93522583,어떻게 말해줘야 할까,2020년 10월 25일,"['국내도서', '가정 살림', '육아', '육아법/육아일기', '국내도서', '가정 살림', '자녀교육', '자녀교육일반', '#일생의기술', '#대화가필요해', '#자녀와의대화', '#부모는처음이라', '#부모가된다는것', '#부모와아이가행복한육아', '#아이를키운다면한번쯤', '#대화의기술']",오은영,4,평점5점,"동그라미 치며 다짐하지만 아들맘은 ㅠ 힘드네요

아들맘이 보기엔 너무 너그러운듯 ㅜ"
21,93522583,어떻게 말해줘야 할까,2020년 10월 25일,"['국내도서', '가정 살림', '육아', '육아법/육아일기', '국내도서', '가정 살림', '자녀교육', '자녀교육일반', '#일생의기술', '#대화가필요해', '#자녀와의대화', '#부모는처음이라', '#부모가된다는것', '#부모와아이가행복한육아', '#아이를키운다면한번쯤', '#대화의기술']",오은영,4,평점5점,기억할 수 있게 수시로 보게 되요^^
22,93522583,어떻게 말해줘야 할까,2020년 10월 25일,"['국내도서', '가정 살림', '육아', '육아법/육아일기', '국내도서', '가정 살림', '자녀교육', '자녀교육일반', '#일생의기술', '#대화가필요해', '#자녀와의대화', '#부모는처음이라', '#부모가된다는것', '#부모와아이가행복한육아', '#아이를키운다면한번쯤', '#대화의기술']",오은영,4,평점5점,"친구 선물로 하나주고 하나
더삿네요"
23,93522583,어떻게 말해줘야 할까,2020년 10월 25일,"['국내도서', '가정 살림', '육아', '육아법/육아일기', '국내도서', '가정 살림', '자녀교육', '자녀교육일반', '#일생의기술', '#대화가필요해', '#자녀와의대화', '#부모는처음이라', '#부모가된다는것', '#부모와아이가행복한육아', '#아이를키운다면한번쯤', '#대화의기술']",오은영,4,평점5점,의지적으로 의식수준을 개선하고 아이와 함께 성장하고싶은 어른을 위한 좋은책이에요.
24,99475212,정재승의 인간탐구보고서 6,2021년 04월 15일,"['국내도서', '어린이', '3-4학년', '3-4학년 학습', '3-4학년 과학/환경', '국내도서', '어린이', '5-6학년', '5-6학년 학습', '5-6학년 과학/환경', '국내도서', '어린이', '초등학습', '과학/환경']",정재은,5,평점5점,구매하고 금방 읽고 한번 더 보더니 7권 사달라고 하네요.. 7권 빠른 출간 부탁드려요.
25,99475212,정재승의 인간탐구보고서 6,2021년 04월 15일,"['국내도서', '어린이', '3-4학년', '3-4학년 학습', '3-4학년 과학/환경', '국내도서', '어린이', '5-6학년', '5-6학년 학습', '5-6학년 과학/환경', '국내도서', '어린이', '초등학습', '과학/환경']",정재은,5,평점5점,"아이가 좋아해서
정재승작가 알람신청해 놓고 나올때마다 제빠르게 구입해서 읽고있습니다 ."
26,99475212,정재승의 인간탐구보고서 6,2021년 04월 15일,"['국내도서', '어린이', '3-4학년', '3-4학년 학습', '3-4학년 과학/환경', '국내도서', '어린이', '5-6학년', '5-6학년 학습', '5-6학년 과학/환경', '국내도서', '어린이', '초등학습', '과학/환경']",정재은,5,평점5점,아이가 너무 좋아합니다. 오자마자 읽었어요
